# Scattering^16 vs Time
# Time,Scatter amount^16
# Forward scatter, Side scatter
61.000000 0.000000 0.000000
62.000000 0.000000 0.000000
63.000000 0.000000 0.000000
64.000000 0.000000 0.000000
65.000000 0.000000 0.000000
66.000000 0.000000 0.000000
67.000000 0.000000 0.000000
68.000000 0.000000 0.000000
69.000000 0.000000 0.000000
70.000000 0.000000 0.000000
71.000000 0.000000 0.000000
72.000000 0.000000 0.000000
73.000000 0.000000 0.000000
74.000000 0.000000 0.000000
75.000000 0.000000 0.000000
76.000000 0.000000 0.000000
77.000000 0.000000 0.000000
78.000000 0.000000 0.000000
79.000000 0.000000 0.000000
80.000000 0.000000 0.000000
81.000000 0.000000 0.000000
82.000000 0.000000 0.000000
83.000000 0.000000 0.000000
84.000000 0.000000 0.000000
85.000000 0.000000 0.000000
86.000000 0.000000 0.000000
87.000000 0.000000 0.000000
88.000000 0.000000 0.000000
89.000000 0.000000 0.000000
90.000000 0.000000 0.000000
91.000000 0.000000 0.000000
92.000000 0.000000 0.000000
93.000000 0.000000 0.000000
94.000000 0.000000 0.000000
95.000000 0.000000 0.000000
96.000000 0.000000 0.000000
97.000000 0.000000 0.000000
98.000000 0.000000 0.000000
99.000000 0.000000 0.000000
100.000000 0.000000 0.000000
101.000000 0.000000 0.000000
102.000000 0.000000 0.000000
103.000000 0.000000 0.000002
104.000000 0.000002 0.000011
105.000000 0.000024 0.000067
106.000000 0.000285 0.000376
107.000000 0.003327 0.001849
108.000000 0.037662 0.008574
109.000000 0.408621 0.037625
110.000000 4.169012 0.147397
111.000000 40.083451 0.548308
112.000000 359.725166 1.924684
113.000000 2976.946619 6.078129
114.000000 22765.044685 18.276949
115.000000 159797.231741 51.992553
116.000000 1023839.299310 134.960586
117.000000 5991758.725165 327.786465
118.000000 31935250.310882 753.766606
119.000000 154778880.075762 1596.177038
120.000000 681712225.203127 3152.403341
121.000000 2729632049.777050 5866.200829
122.000000 9940924367.768801 10044.631285
123.000000 32959073834.242409 16068.701449
124.000000 99611141394.092590 23993.056568
125.000000 274947309256.825012 33184.594556
126.000000 694413569652.446655 42854.021876
